_r,_x,_y,_p,RAJ2000,DEJ2000,errMaj,errMin,errPA,_2MASS,Jmag,Jcmsig,e_Jmag,Jsnr,Hmag,Hcmsig,e_Hmag,Hsnr,Kmag,Kcmsig,e_Kmag,Ksnr,Qflg,Rflg,Bflg,Cflg,Ndet,prox,pxPA,pxCntr,Xflg,Aflg,Cntr,Hemis,Date,Scan,GLON,GLAT,Xscan,_tab1_36,Jpsfchi,Hpsfchi,Kpsfchi,Jstdap,e_Jstdap,Hstdap,e_Hstdap,Kstdap,e_Kstdap,edgeNS,edgeEW,edge,dup,use,opt,Dopt,PAopt,Bmag,Rmag,Nopt,extKey,scanKey,coaddKey,coadd,Opt
0.101184,-0.070929,-0.072161,224.5,257.791542,-39.253120,0.06,0.06,45,17110997-3915112,15.076,0.048,0.049,18.1,13.532,0.047,0.048,27.9,12.955,0.041,0.041,29.8,AAA,222,111,000,056666,7.5,105,672002118,0,0,672002127,s,1999-08-09,11,347.473,0.199,53.4,2451400.4889,0.82,0.81,0.78,15.516,0.080,13.566,0.030,13.047,0.087,9897,200,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.113184,-0.079447,-0.080616,224.6,257.780530,-39.261566,0.06,0.06,45,17110732-3915416,12.640,0.019,0.023,170.4,11.816,0.028,0.030,135.7,11.475,0.030,0.032,116.5,AAA,222,111,000,666655,7.0,178,672001938,0,0,672001978,s,1999-08-09,11,347.461,0.201,84.1,2451400.4889,0.83,0.69,1.14,12.689,0.027,11.815,0.030,11.501,0.022,9867,169,sw,0,1,U,0.1,165,18.30,16.30,1,,36753,845307,127,Opt
0.093336,-0.062204,-0.069585,221.8,257.802812,-39.250553,0.11,0.11,45,17111267-3915019,15.381,0.066,0.067,13.7,14.630,,,,14.602,,,,AUU,200,100,c00,060000,5.7,18,672002208,0,0,672002178,s,1999-08-09,11,347.480,0.194,22.0,2451400.4889,0.89,,,15.845,0.141,,,,,9906,231,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.110051,-0.079670,-0.075920,226.4,257.780248,-39.256870,0.08,0.08,45,17110725-3915247,16.700,,,,13.506,0.041,0.042,28.6,12.330,0.026,0.028,53.0,UAA,022,011,000,005666,7.2,304,672002086,0,0,672002069,s,1999-08-09,11,347.465,0.204,84.8,2451400.4889,,0.50,0.60,,,13.740,0.061,12.491,0.037,9884,168,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.100834,-0.061993,-0.079526,217.9,257.803074,-39.260494,0.08,0.08,45,17111273-3915377,14.677,,,,13.738,0.063,0.064,23.1,12.893,0.071,0.071,31.6,UAA,022,011,0c0,006666,4.5,85,672001999,0,0,672001996,s,1999-08-09,11,347.472,0.188,21.2,2451400.4889,,2.12,2.79,,,13.336,0.043,12.623,0.030,9871,232,sw,0,1,U,4.2,267,18.10,16.50,1,,36753,845307,127,Opt
0.098707,-0.068828,-0.070752,224.2,257.794257,-39.251713,0.06,0.06,45,17111062-3915061,13.308,0.038,0.040,92.1,11.252,0.028,0.030,228.1,10.366,0.026,0.028,323.6,AAA,222,111,000,555566,7.0,182,672002118,0,0,672002161,s,1999-08-09,11,347.475,0.198,45.8,2451400.4889,1.12,0.93,0.76,13.338,0.032,11.273,0.034,10.368,0.013,9902,207,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.114529,-0.079376,-0.082562,223.9,257.780619,-39.263512,0.08,0.08,45,17110734-3915486,15.159,,,,14.374,0.093,0.093,12.9,13.662,0.076,0.077,15.6,UAA,022,011,0cc,000625,6.1,109,672001932,0,0,672001938,s,1999-08-09,11,347.460,0.200,83.8,2451400.4889,,0.32,0.51,,,14.362,0.067,13.669,0.133,9860,169,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.108158,-0.081099,-0.071562,228.6,257.778410,-39.252510,0.08,0.08,45,17110681-3915090,16.871,,,,14.015,0.063,0.064,17.9,12.896,0.056,0.056,31.5,UAA,022,011,000,002655,6.8,294,672002159,0,0,672002143,s,1999-08-09,11,347.468,0.208,90.0,2451400.4889,,0.45,0.41,,,14.273,0.051,13.018,0.071,9900,163,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.103978,-0.070514,-0.076414,222.7,257.792072,-39.257374,0.08,0.08,45,17111009-3915265,15.177,0.074,0.075,16.5,14.290,0.074,0.074,13.9,13.979,,,,AAU,220,110,000,561600,8.0,190,672002016,0,0,672002059,s,1999-08-09,11,347.470,0.196,51.9,2451400.4889,1.75,0.98,,14.911,0.044,14.419,0.162,,,9882,201,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.105846,-0.070893,-0.078597,222.1,257.791580,-39.259556,0.12,0.11,0,17110997-3915344,15.644,0.086,0.087,10.7,15.114,,,,14.511,,,,AUU,200,100,000,060000,8.0,10,672002059,0,0,672002016,s,1999-08-09,11,347.468,0.195,53.3,2451400.4889,0.98,,,17.444,0.871,,,,,9874,200,sw,0,1,0,,,,,0,,36753,845307,127,Opt
